"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NIBQJRW4","journalArticle","2019","Lahn, Glada","Thinking differently about energy access in displacement situations","","","","","https://www.energyeconomicgrowth.org/sites/default/files/2019-04/Energy%20access%20in%20mass%20displacement%20CLEAN%2BFINAL%20%5Bglrevisions%5D.pdf","","2019","2023-10-18 09:18:54","2023-10-18T09:18:54Z","","","","","","","","","","","","","","","en","","","","","Zotero","","RELATES_TO: PJUG6HJH","","","","ACCESS: Open Access; BASIC RESOURCE; CO-DESIGN LEVEL: 2; PROJECT STEP: Design; THEME: Policy; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJUG6HJH","report","2022","Rosenberg-Jansen, Sarah; Al-Kaddo, Hajar","The State of the Humanitarian Energy Sector: Challenges, Progress and Issues in 2022","","","","","https://www.humanitarianenergy.org/thematic-working-areas/state-of-the-humanitarian-energy-sector","","2022","2023-10-18 09:18:50","2023-10-18T09:18:50Z","2023-01-11 14:59:13","313","","","","","","","","","","","GPA - Global Platform For Action for Sustainable Energy in Displacement Settings. UNITAR","Geneva Switzerland","en","","","","","","","RELATES_TO: J77RTYWY","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: M&E; THEME: Partnerships; THEME: Policy; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XKW69YFV","journalArticle","2019","Huber, Suzanna; Mach, Eva","Policies for increased sustainable energy access in displacement settings","Nature Energy","","2058-7546","10.1038/s41560-019-0520-1","https://www.nature.com/articles/s41560-019-0520-1","","2019-12-12","2023-10-18 09:18:46","2023-10-18T09:18:46Z","2023-04-26 07:31:40","1000-1002","","12","4","","Nat Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","RELATES_TO: NIBQJRW4","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Implementation; PROJECT STEP: Needs Assessment; THEME: Policy; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQAU7VI5","report","2021","Barbelet, Veronique; Davies, Gemma; Flint, Josie; Davey, Eleanor","Interrogating the evidence base on humanitarian localisation: A literature study","","","","","https://odi.org/en/publications/interrogating-the-evidence-base-on-humanitarian-localisation-a-literature-study/","","2021","2023-10-18 09:18:20","2023-10-18T09:18:20Z","","","","","","","","","","","","","Oversees Development Institute","","","","","","","","","RELATES_TO: YSIILPT8","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Implementation; THEME: Localisation; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","Humanitarian Policy Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WE9DH2K","report","2018","Rosenberg-Jansen, Sarah; Barlow, Megan; Peisch, Stella; Ponnan, Nydia; Rathi, Prerna","Sustainable Humanitarian Energy Services Inclusive  participation, lessons learnt, and paths forward","","","","","https://infohub.practicalaction.org/bitstream/handle/11283/620670/Policybrief_7_web_updated.pdf;jsessionid=171E94DD34D292FA5AA4EBB6978E4077?sequence=1","","2018","2023-10-18 09:17:53","2023-10-18T09:17:53Z","","","","","","","","","","","","Poor Peoples Energy Briefing Series","Practical Action","Rugby UK","","","","","","","","RELATES_TO: 2FLY6PK6","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: M&E; THEME: Gender, Disability, & Inclusion; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2JDHYYP","journalArticle","2019","Rosenberg-Jansen, Sarah; Tunge, Tracy; Kayumba, Timothy","Inclusive energy solutions in refugee camps","Nature Energy","","2058-7546","10.1038/s41560-019-0516-x","https://www.nature.com/articles/s41560-019-0516-x","","2019-12-12","2023-10-18 09:17:47","2023-10-18T09:17:47Z","2023-04-26 07:25:10","990-992","","12","4","","Nat Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","RELATES_TO: 4WE9DH2K","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: Design; THEME: Gender, Disability, & Inclusion; USEFUL FOR: Community; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26TDWZQS","report","2022","Lough, Oliver; Barbelet, Veronique; Njeri, Sarah","Inclusion and exclusion in humanitarian action: findings from a three-year study","","","","","www.odi.org/en/publications/ inclusion-and-exclusion-in-humanitarian-action-findings-from-a-three-year-study","","2022","2023-10-18 09:17:44","2023-10-18T09:17:44Z","","","","","","","","","","","","HPG report. London: ODI","","","en","","","","","Zotero","","RELATES_TO: T2JDHYYP","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: Design; PROJECT STEP: Implementation; PROJECT STEP: Needs Assessment; PROJECT STEP: Stakeholder Mapping; THEME: Gender, Disability, & Inclusion; USEFUL FOR: Community; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DHATLDL","report","2022","Daigle, Megan","Gender, power and principles in humanitarian action","","","","","https://cdn.odi.org/media/documents/Gender_IP_final_synthesis_web.pdf","","2022","2023-10-18 09:17:41","2023-10-18T09:17:41Z","","","","","","","","","","","","HPG report.","Oversees Development Institute","London","en","","","","","Zotero","","RELATES_TO: 3YX8DAZU","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Design; PROJECT STEP: Needs Assessment; PROJECT STEP: Stakeholder Mapping; THEME: Gender, Disability, & Inclusion; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQCNRWYU","blogPost","2021","Elrha","The role of community-led innovation in decolonising aid","Community-led Innovation Partnership","","","","https://medium.com/community-led-innovation-partnership/the-role-of-community-led-innovation-in-decolonising-aid-7fe3173d9eb2","At the 2021 Humanitarian Leadership Conference, Elrha joined representatives of organisations and networks in the ‘Global North’ and ‘Global South’ to discuss ways to challenge inequity in the aid…","2021-10-14","2023-10-18 09:17:31","2023-10-18T09:17:31Z","2023-05-02 13:53:55","","","","","","","","","","","","","","en","","","","","","","RELATES_TO: W4IEJV9D","","","","ACCESS: Open Access; BASIC RESOURCE; CO-DESIGN LEVEL: 3; PROJECT STEP: Design; PROJECT STEP: Implementation; PROJECT STEP: M&E; PROJECT STEP: Needs Assessment; PROJECT STEP: Stakeholder Mapping; THEME: Decolonisation; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJ9M4T4T","webpage","2022","Aly, Heba","Ten efforts to decolonise aid","The New Humanitarian","","","","https://www.thenewhumanitarian.org/feature/2022/08/12/10-efforts-to-decolonise-aid","Changing practices around funding, leadership, narrative and identity.","2022-08-12","2023-10-18 09:17:28","2023-10-18T09:17:28Z","2023-06-26 08:49:13","","","","","","","","","","","","","","en","","","","","","","RELATES_TO: 432IPVY8","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Design; PROJECT STEP: Implementation; THEME: Decolonisation; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTNB5BX7","blogPost","2021","Podestà, Alessandra; Kapoor, Seema","What is the community and what are community-led approaches?","What is the community and what are community-led approaches?","","","","https://medium.com/community-led-innovation-partnership/what-is-the-community-and-what-are-community-led-approaches-3e555a22fbd0","Why do we want to explore what it means to be community-led? What do those words really mean?","2021-10-14","2023-10-18 09:17:08","2023-10-18T09:17:08Z","2023-05-02 14:06:09","","","","","","","","","","","","","","en","","","","","","","RELATES_TO: HIAVKI7M","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: Design; PROJECT STEP: Needs Assessment; THEME: Capacity Building & Sharing; THEME: Decolonisation; USEFUL FOR: Community; USEFUL FOR: NGO/Other; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBV9S3XM","journalArticle","2023","Bisimwa, Mulemangabo","“We are well able to stand on our own if we are given the opportunities”: perspectives from affected populations in Uganda","Forced Migration Review","","","","https://www.fmreview.org/es/node/5452#:~:text=Forced%20Migration%20Review-,“We%20are%20well%20able%20to%20stand%20on%20our%20own%20if,from%20affected%20populations%20in%20Uganda&text=Persons%20affected%20by%20forced%20displacement,policy%20discussions%20at%20national%20levels.","","2023","2023-10-18 09:17:03","2023-10-18T09:17:03Z","","41","","","","","","","","","","","","","en","","","","","Zotero","","RELATES_TO: HIAVKI7M | W4IEJV9D","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: M&E; THEME: Capacity Building & Sharing; USEFUL FOR: Community; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GZIJKW9","report","2022","Medem, Isabel; McClelland, Ian","The meanings of humanitarian innovation: Reflections from the Community-Led Innovation Partnership using a postcolonial lens","","","","","https://www.elrha.org/wp-content/uploads/2022/12/Reimagining_Humanitarian_Innovation_.pdf","","2022","2023-10-18 09:16:57","2023-10-18T09:16:57Z","","","","","","","","","","","","The Community-Led Innovation Partnership","","","en","","CLIP Discussion Paper","","","Zotero","","RELATES_TO: TNUSGCEG","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Implementation; THEME: Capacity Building & Sharing; THEME: Partnerships; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4IEJV9D","report","2009","Pouligny, Béatrice","Supporting Local Ownership in Humanitarian Action","","","","","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.599.7743&rep=rep1&type=pdf","","2009","2023-10-18 09:16:54","2023-10-18T09:16:54Z","","25","","","","","","","","","","","Global Public Policy Institute","Washington DC USA","","","","","","","","RELATES_TO: XEMS4G2M","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Implementation; THEME: Capacity Building & Sharing; USEFUL FOR: Community; USEFUL FOR: Policy/Governments; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XEMS4G2M","journalArticle","2020","Beer, Jeremy de; Tumaine, Nicole","Innovation in refugee economies: supporting intermediaries that embrace informality","Research Handbook on Development and the Informal Economy","","","","https://www.elgaronline.com/display/edcoll/9781788972796/9781788972796.00027.xml","This chapter seeks to highlight the role of refugees within innovation systems, specifically in informal sector innovation. Refugee communities are vibrant hotbeds of innovation, where migrants transfer knowledge and skills to new environments and entrepreneurship happens of necessity. Thus, there are many benefits that might flow to countries that embrace the innovative potential of refugees. At the same time, the world’s refugee population is growing faster than humanitarian aid’s capacity to keep up with the needs of refugees. To address this gap, the international community through policies such as the UN Global Compact for Refugees is calling for more sustainable solutions to ensure refugee self-reliance. Innovation and entrepreneurship in the informal sector is a promising path towards greater self-reliance. Countering the narrative that refugees are a drain on society, this chapter examines innovation by refugees in the informal sector in Uganda both within and outside of refugee camps. It showcases ways in which refugees have provided innovative solutions to community-faced problems that benefit both the host and refugee communities.","2020-09-18","2023-10-18 09:16:50","2023-10-18T09:16:50Z","2023-04-18 07:00:58","387-409","","","","","","Innovation in refugee economies","","","","","","","en_US","","","","","www.elgaronline.com","","RELATES_TO: UZ8TBN5W","","","","ACCESS: Institutional Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Implementation; PROJECT STEP: M&E; PROJECT STEP: Needs Assessment; THEME: Capacity Building & Sharing; THEME: Localisation; USEFUL FOR: Community; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTKN4GWJ","journalArticle","2021","Jenkins, Kirsten E. H.; Sovacool, Benjamin K.; Mouter, Niek; Hacking, Nick; Burns, Mary-Kate; McCauley, Darren","The methodologies, geographies, and technologies of energy justice: a systematic and comprehensive review","Environmental Research Letters","","1748-9326","10.1088/1748-9326/abd78c","https://dx.doi.org/10.1088/1748-9326/abd78c","The energy justice literature has seen a rapid surge in both academic and practical popularity. However, there has been less systematic reflection on the research conducted so far, its scope or contribution, nor what it might mean for the future of the concept. To provide insights, this paper presents the results of a systematic and comprehensive review of 155 peer-reviewed articles published across eight databases between January 2008 and December 2019. The aim is firstly to review the current state of the art in the energy justice literature and, secondly, to present findings that support novel recommendations with the potential to enhance the impact of energy justice research, including applications in the economic and planning policy sectors. Critically, our study demonstrates that the literature lacks diversity in its author basis and research design. By contrast, conceptual frameworks and the geographies and technologies of global energy injustice are proliferating. These results illustrate that energy justice has power and agency as a tool. It can act as a protagonist in energy research, provoking researchers to remain reflexively normative and active in identifying injustices and vulnerabilities, and it can act as a promising progenitor, creating new research methods and themes.","2021-03","2023-10-18 08:46:29","2023-10-18T08:46:29Z","2023-03-22 08:43:02","043009","","4","16","","Environ. Res. Lett.","The methodologies, geographies, and technologies of energy justice","","","","","","","en","","","","","Institute of Physics","","RELATES_TO: 8F8B6HH4 | C437I3I6","","","","ACCESS: Open Access; BASIC RESOURCE; CO-DESIGN LEVEL: 3; PROJECT STEP: Design; THEME: Humanitarian Principles?; USEFUL FOR: NGO/Other; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HQB6YX9","journalArticle","2021","Field, Jessica; Johar, Ali","Perspectives on “Giving Back”: A Conversation Between Researcher and Refugee","The Companion to Peace and Conflict Fieldwork","","","","https://doi.org/10.1007/978-3-030-46433-2_33","Our chapter—“Perspectives on ‘giving back’: A conversation between researcher and refugee”—offers personal reflections on the ethics of research with refugeesRefugees and what it means for researchers to “give back” to refugee participants beyond “policy impact”. Written as a dialogue between an academic and a Rohingya refugee youth leader, we explore the blurry lines between academic work and advocacy when the issues of refugee protection are pressing, as well as the appropriateness of researchers giving monetary donations and volunteering for refugee causes as payback for data. In this chapter, we also examine what it means to build trustTrust and relationshipsRelationships between researchers and refugeesRefugees, and how too often researchers fail to develop meaningful research interactions with refugee participants who share their time, energy and personal stories of vulnerability.","2021","2023-10-18 08:45:07","2023-10-18T08:45:07Z","2023-05-02 08:48:18","471-484","","","","","","Perspectives on “Giving Back”","","","","","","","en","","","","","Springer Link","","RELATES_TO: YYFX5Q7L","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: Design; PROJECT STEP: Needs Assessment; PROJECT STEP: Stakeholder Mapping; THEME: Humanitarian Principles?; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","Mac Ginty, Roger; Brett, Roddy; Vogel, Birte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75UL9APZ","newspaperArticle","2020","Slim, Hugo","Why aid workers don’t have to be neutral","The New Humanitarian","","","","https://www.thenewhumanitarian.org/opinion/2020/08/27/humanitarian-principles-neutrality","For decades, the principle of neutrality has been core to humanitarian assistance. It’s time to question that.","2020-08-27","2023-10-18 08:44:17","2023-10-18T08:44:17Z","2023-06-06 12:12:45","","","","","","","","","","","","","","en","","","","","","","RELATES_TO: NL7ZMUCC | 7HQB6YX9","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: Implementation; THEME: Humanitarian Principles?; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
